geoid,name,median_income,median_age,total_pop
95129,ZCTA5 95129,148068,41.2,39741
95203,ZCTA5 95203,44922,34.4,15487
95205,ZCTA5 95205,36444,29.3,38350
95641,ZCTA5 95641,42926,50.2,1489
95642,ZCTA5 95642,62083,54.4,7101
95648,ZCTA5 95648,88158,43.5,52949
95661,ZCTA5 95661,86823,41.6,31315
95670,ZCTA5 95670,67015,36.7,55558
95683,ZCTA5 95683,108338,50.1,6326
95688,ZCTA5 95688,94863,39.1,37260
95701,ZCTA5 95701,83958,59,915
95715,ZCTA5 95715,NA,46.8,104
95721,ZCTA5 95721,NA,NA,0
95736,ZCTA5 95736,56786,24.9,289
95776,ZCTA5 95776,81184,33.4,23911
95814,ZCTA5 95814,33938,34,11908
95832,ZCTA5 95832,47341,29.7,12114
95837,ZCTA5 95837,219063,47.3,300
95612,ZCTA5 95612,95000,36.1,1321
95614,ZCTA5 95614,99529,50.6,4359
95636,ZCTA5 95636,50757,56,1195
95675,ZCTA5 95675,40670,46.4,566
95685,ZCTA5 95685,57420,50.7,4665
95687,ZCTA5 95687,86056,37.8,69060
95722,ZCTA5 95722,94071,52.1,5123
95735,ZCTA5 95735,154375,47.5,12
95747,ZCTA5 95747,105431,39.5,66931
95820,ZCTA5 95820,51068,35.1,36437
95827,ZCTA5 95827,59115,35.2,20666
95903,ZCTA5 95903,49750,22,1653
95916,ZCTA5 95916,33942,56.4,1359
95941,ZCTA5 95941,55870,62.7,775
95945,ZCTA5 95945,48648,49.5,25381
95954,ZCTA5 95954,51263,49.1,12371
95962,ZCTA5 95962,NA,44,1324
95969,ZCTA5 95969,51625,50.8,23572
